R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.21,0.98,528870.145750668,47319.8413263508,2523.49532844602,5.36807896882412,7368606.35892089,2052674.79059468,0.00212272396883298,921.391231798852,1.96001983349191
15,0.03,0.22,0,661072.972453403,5593.69438229803,2444.00104498264,20.6800088421608,7136483.02650162,2194385.62560886,0.0083905415713196,892.365881549287,7.55078822849396
15,0.03,0.22,0.3,611449.145094173,7561.11328689287,2460.98969544591,20.0064659642147,7186089.86521038,2192418.88024714,0.00806388428785141,898.568862549686,7.30486088518391
15,0.03,0.22,0.6,568717.173028707,11800.4333525863,2475.61891596588,18.5551409990073,7228807.20805533,2188181.01150641,0.00743939299151668,903.910356692042,6.77494585726254
15,0.03,0.22,0.9,531477.861401889,28364.2817444195,2488.36772587841,12.8845320758169,7266033.77087223,2171622.8337235,0.00515123256154705,908.565265911356,4.70446477418265
15,0.03,0.22,0.98,522279.795972502,49711.6772965993,2491.51667379117,5.57628302085959,7275228.68735371,2150282.74642038,0.00223310990712122,909.715025518003,2.03604033799136
15,0.03,0.23,0,660745.698951699,5920.9679516451,2409.87822018479,21.5950126224351,7036844.42282812,2294057.43703573,0.00888145192431458,879.906785144971,7.88487898376662
15,0.03,0.23,0.3,608476.77035924,7995.8191969512,2427.772416056,20.8846904400004,7089095.4572247,2291983.29611261,0.00852903837968811,886.440403412446,7.62552259690515
15,0.03,0.23,0.6,563829.815341797,12461.9349811032,2443.05723661416,19.3557223765077,7133727.12742159,2287518.70929652,0.00786046966892245,892.021273518747,7.06725813272239
15,0.03,0.23,0.9,525192.061332185,29845.3888688505,2456.28481956869,13.4045228460292,7172351.65384825,2270141.2066083,0.00542761496995531,896.850994745018,4.89432640415642
15,0.03,0.23,0.98,515686.830425059,52117.2068337435,2459.53891466693,5.77979909917036,7181853.63066027,2247877.01336716,0.00234444295859052,898.039146217762,2.11034914608458
15,0.03,0.24,0,660410.149599218,6256.51720672943,2375.75823695759,22.507183297493,6937214.09216382,2393720.97560997,0.00938477580813347,867.448726269141,8.21793530149713
15,0.03,0.24,0.3,605456.394616881,8440.61711473501,2394.57158506315,21.7594600570696,6992149.03379806,2391537.62342521,0.0090051651246268,874.317949996183,7.94492285333755
15,0.03,0.24,0.6,558900.738581163,13136.9751731087,2410.50983291077,20.1516687751871,7038688.75158593,2386842.87315812,0.00829061091444017,880.137402741545,7.3578780615402
15,0.03,0.24,0.9,518893.706497836,31346.0147353106,2424.20618810152,13.9178312753568,7078682.08731406,2368640.06743341,0.00570841809717039,885.138284430568,5.08174814441464
15,0.03,0.24,0.98,509091.247133203,54536.5903188454,2427.56205159074,5.97857229795206,7088481.19081521,2345457.43110886,0.00245673823533653,886.36359408707,2.18292621028975
15,0.03,0.25,0,660066.006863229,6600.66006863229,2341.64121536721,23.4164121536721,6837592.3519214,2493375.92351921,0.0099009900990099,854.991748760952,8.54991748760952
15,0.03,0.25,0.3,602386.847122955,8895.857320409,2361.3875985665,22.6306548742709,6895251.76527848,2491081.51202472,0.00949265167815258,862.201646926593,8.26301786096816
15,0.03,0.25,0.6,553929.404089737,13825.9723341993,2377.97691989992,20.9428372263456,6943692.61899036,2486153.08482857,0.0087301116113336,868.258822878457,7.64675344226943
15,0.03,0.25,0.9,512582.757301284,32866.5833121993,2392.13189285666,14.4243124896282,6985025.11080586,2467118.99237531,0.00599375674566995,873.427157379288,5.26667709777549
15,0.03,0.25,0.98,502493.044117576,56969.9913060684,2395.58608557318,6.17254662643137,6995111.36979685,2443023.83614731,0.00257001121747956,874.688369494907,2.25375108697575
15,0.03,0.26,0,659712.935472095,6953.73094146263,2307.52724341344,24.3225844576011,6737979.53728449,2593021.94647408,0.0104305964161541,842.535884751332,8.88078365008161
15,0.03,0.26,0.3,599266.918792988,9361.90634670694,2328.22085353833,23.4981492535943,6798404.86035347,2590614.59550404,0.00999190346537902,850.091639148182,8.57976174621863
15,0.03,0.26,0.6,548915.264218918,14529.3624411435,2345.45866948439,21.7290783658516,6848739.2771116,2585448.90848049,0.009179279668706,856.385596695486,7.93382973833157
15,0.03,0.26,0.9,506259.173973642,34407.5320629072,2360.06191268739,14.9238165253039,6891380.76411367,2565577.54412057,0.00628374997867931,861.717605869983,5.4490585088016
15,0.03,0.26,0.98,495892.219386315,59417.5766156035,2363.61101704783,6.36166497298628,6901744.16959664,2540576.06171942,0.00268427776456978,863.013472599588,2.32280292326161
15,0.03,0.27,0,659350.585068641,7316.08183432327,2273.41643600326,25.225579632365,6638375.99849536,2692658.69258604,0.0109741227475952,830.081176195691,9.21048976326726
15,0.03,0.27,0.3,596095.360154076,9839.14792345588,2295.07177558537,24.3618117980131,6701609.56807034,2690136.49026475,0.0105033452695217,837.988082060608,8.89510653274952
15,0.03,0.27,0.6,543857.76251479,15247.5999918305,2312.95523065829,22.5102361880054,6753829.28225455,2684729.88977198,0.00963843675171191,844.517778594109,8.21904998814546
15,0.03,0.27,0.9,499922.916656914,35969.3125293567,2327.99626537236,15.4161888070573,6797749.08707771,2664015.27128184,0.00657852132669301,850.009636394083,5.62883593817679
15,0.03,0.27,0.98,489288.770945312,61879.5164258165,2331.63684661453,6.54586907736242,6808379.59220807,2638113.93770511,0.00279955412955203,851.338903620132,2.39006044687195
15,0.03,0.28,0,658978.58337687,7688.08347273016,2239.30892930189,26.1252708418554,6538782.10769383,2792285.79125643,0.0115321252059308,817.627672811352,9.53898951613245
15,0.03,0.28,0.3,592870.881427293,10327.9840124488,2261.94082423601,25.2215050681022,6604867.17774847,2789646.79448248,0.0110274223849149,825.891143449172,9.20900203799081
