R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.966,0.0001,339999.987545201,289799.98938422,9.1495775267109e-25,9.849576024122e-25,0.0124547998398429,9370200.01061578,0.518421833781653,3.34073949444032e-25,3.59632644580754e-25
15,0.03,0.966,0.001,339999.987545279,289799.989384287,2.21201701010646e-24,1.57910572180834e-24,0.0124547218756738,9370200.01061571,0.416527196156157,8.07662710815119e-25,5.7657097667527e-25
15,0.03,0.966,0.01,331641.726316678,283669.758849145,2.88068911068198,2.11279286365547,8355.39299393211,9376328.12835512,0.423110141282887,1.05181161153776,0.771433494342202
15,0.03,0.966,0.1,157916.257698799,212825.039126679,62.336125520784,26.3522748413257,182021.40617568,9447148.60859848,0.29713327485591,22.7604778307763,9.62187435143904
15,0.03,0.9665,0.0001,334999.987728439,289949.989378794,2.6181103194509e-18,2.26251219012531e-18,0.0122715650066051,9375050.01062116,0.463570412521366,9.55937530389512e-19,8.26099763419506e-19
15,0.03,0.9665,0.001,334999.987728427,289949.989378783,1.49236296200244e-23,1.26633060472182e-23,0.012271574505769,9375050.01062122,0.459032717513998,5.44899026501143e-24,4.62368962049056e-24
15,0.03,0.9665,0.01,329372.240653347,285768.835453643,1.90887112109849,1.41820398476262,5625.85047554265,9379229.74634254,0.426261487834842,0.696976568091086,0.517821729936452
15,0.03,0.9665,0.1,156194.033574576,213834.116952415,61.2139295404291,26.0581477445996,178744.752495884,9451139.82489984,0.298585166702224,22.3507360234492,9.51448119524694
15,0.03,0.967,0.0001,329999.987911635,290099.989373333,4.17628859879531e-24,3.0694003099127e-24,0.0120883670281455,9379900.01062663,0.423617457026597,1.52486737463514e-24,1.12071478815688e-24
15,0.03,0.967,0.001,329999.987911689,290099.989373381,8.0110140038102e-24,6.82907974268743e-24,0.0120883121574443,9379900.01062663,0.460177668641692,2.9250214881412e-24,2.49346774104875e-24
15,0.03,0.967,0.01,327075.194821182,287898.45809031,1.00541925235181,0.756795780408925,2923.79975956824,9382100.785114,0.429457112974066,0.367103704514956,0.276325059321809
15,0.03,0.967,0.1,154460.175750659,214851.12872744,60.095826217944,25.761351383935,175479.728423124,9455123.10992118,0.300048896358913,21.9424885478268,9.40611342405926
15,0.03,0.9675,0.0001,324999.988094927,290249.989367959,5.89466373723942e-24,5.16104630464444e-24,0.0119050719833392,9384750.01063202,0.466821785764292,2.15228909705954e-24,1.8844270319833e-24
15,0.03,0.9675,0.001,324999.988094867,290249.989367906,0,0,0.0119051344809552,9384750.01063209,NaN,0,0
15,0.03,0.9675,0.01,324999.937663172,290249.950906567,5.07619396983919e-05,3.87129672277378e-05,0.0622857272273088,9384750.04904905,0.432668426911013,1.85344532323753e-05,1.41350721590278e-05
15,0.03,0.9675,0.1,152714.524086499,215876.150111927,58.9816578675906,25.4617690710676,172226.494255635,9459098.38811901,0.301524582719312,21.535677828904,9.29672843207356
15,0.03,0.968,0.0001,319999.988278087,290399.989362469,4.16529098132609e-18,3.77399306518841e-18,0.0117219146173565,9389600.01063753,0.475356851206913,1.52085186955669e-18,1.37797921792692e-18
15,0.03,0.968,0.001,319999.988278005,290399.989362396,0,0,0.0117219951015795,9389600.01063761,NaN,0,0
