R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.86,0.3,227175.92179675,104316.217472078,401.51457660106,52.6134140821627,1172422.56362665,8495631.16911384,0.115855915428176,146.603009781462,19.2104728167497
15,0.03,0.86,0.31,222666.002110884,104886.523406739,403.058540866635,52.4181706917538,1176930.93934825,8495061.05842257,0.115084195001777,147.16674973393,19.1391845738266
15,0.03,0.86,0.32,218329.837337958,105478.145025635,404.543020428717,52.2156299130641,1181265.61964161,8494469.63934445,0.114317769075621,147.708770334035,19.0652318720075
15,0.03,0.86,0.33,214157.6610809,106090.926577276,405.971358750106,52.0058450605279,1185436.36756035,8493857.06757766,0.11355553208284,148.230292363632,18.9886341777253
15,0.03,0.86,0.34,210140.417601911,106724.769294141,407.346656066869,51.7888499493603,1189452.23574202,8493223.44185591,0.112796438678236,148.732447796416,18.9094038377602
15,0.03,0.86,0.35,206269.699087011,107379.627924039,408.67179079102,51.5646600732598,1193321.6291222,8492568.80741589,0.112039496168603,149.216287612571,18.827546509249
15,0.03,0.86,0.36,202537.68935436,108055.507805214,409.949438775146,51.3332736039918,1197052.36120686,8491893.15892118,0.111283757718195,149.682788832775,18.7430615246575
15,0.03,0.86,0.37,198937.113252436,108752.462423289,411.182090631462,51.0946722271459,1200651.70465693,8491196.44290449,0.110528316221626,150.132860841812,18.6559421969366
15,0.03,0.86,0.38,195461.191094656,109470.591398819,412.372067414071,50.848821842845,1204126.43683793,8490478.55977934,0.109772298750203,150.567351114563,18.5661760753688
15,0.03,0.86,0.39,192103.597579897,110210.038865254,413.521534537571,50.5956731019302,1207482.88088557,8489739.36546164,0.109014861481348,150.987050298031,18.4737451413423
15,0.03,0.86,0.4,188858.424684475,110970.992200051,414.632514641031,50.3351618601892,1210726.94280088,8488978.67263809,0.108255185046303,151.392696908306,18.3786259742016
15,0.03,0.86,0.41,185720.148090776,111753.681080204,415.70689899114,50.0672094914968,1213864.14501023,8488196.2517103,0.107492470233268,151.78498149414,18.2807898655828
15,0.03,0.86,0.42,182683.596782419,112558.37684035,416.746457820733,49.7917230978451,1216899.65675976,8487391.83143655,0.106725933984243,152.164550411795,18.1802028961007
15,0.03,0.86,0.43,179743.925451163,113385.392112606,417.752849904624,49.508595648909,1219838.32169893,8486565.09929175,0.105954805644749,152.532009321426,18.0768259863079
15,0.03,0.86,0.44,176896.589429302,114235.080735026,418.727631132496,49.2177060119011,1222684.68293957,8485715.70155896,0.105178323417536,152.887926317252,17.9706149075954
15,0.03,0.86,0.45,174137.321875952,115107.83791713,419.67226230275,48.9189188943417,1225443.00586175,8484843.24316398,0.104395730985313,153.232834773292,17.8615202612965
15,0.03,0.86,0.46,171462.11300838,116004.100658054,420.588116049842,48.6120846766027,1228117.29887557,8483947.28725727,0.103606274254228,153.567235872698,17.7494874175446
15,0.03,0.86,0.47,168867.191131182,116924.34840876,421.476483716682,48.29703923272,1230711.3323851,8483027.35455201,0.102809198205753,153.891601117054,17.6344564498469
15,0.03,0.86,0.48,166349.005328853,117869.103983361,422.338580865005,47.9736035676371,1233228.65609028,8482082.92241307,0.102003743801598,154.206374338335,17.5163620026335
15,0.03,0.86,0.49,163904.209623673,118838.934717672,423.175553045471,47.6415834612089,1235672.61482328,8481113.42369887,0.101189144929377,154.511973805728,17.3951331612739
15,0.03,0.86,0.5,161529.648466848,119834.453882022,423.988480478816,47.3007689531601,1238046.36305267,8480118.24534902,0.100364625355171,154.808793934828,17.2706932640226
15,0.03,0.86,0.51,159222.343444813,120856.322357876,424.778382943617,46.9509338052115,1240352.87817224,8479096.72670832,0.0995293956474842,155.097207072288,17.1429597056279
15,0.03,0.86,0.52,156979.481068412,121905.2505882,425.546223549512,46.5918347888239,1242594.97270804,8478048.15757701,0.0986826500553702,155.377564873515,17.0118436772693
15,0.03,0.86,0.53,154798.401552964,122982.000817402,426.292912861418,46.2232109500939,1244775.30553418,8476971.77597165,0.0978235633045455,155.650199808525,16.877249898153
15,0.03,0.86,0.54,152676.588498036,124087.389639797,427.019312401612,45.8447827329602,1246896.39218956,8475866.76557747,0.0969512872824765,155.915426440639,16.7390762953721
15,0.03,0.86,0.55,150611.659377912,125222.290878161,427.726237803525,45.4562509833471,1248960.61438428,8474732.25287086,0.0960649475847811,156.173542578012,16.5972136402946
15,0.03,0.86,0.56,148601.356776145,126387.638819714,428.414461901148,45.0572958505516,1250970.22876195,8473567.30388444,0.0951636398853186,156.424830401657,16.4515451474326
15,0.03,0.86,0.57,146643.540293615,127584.431840788,429.084717463013,44.6475755425484,1252927.37498892,8472370.92058367,0.0942464260970789,156.669557463683,16.301946019973
15,0.03,0.86,0.58,144736.179072407,128813.736456814,429.737699736468,44.2267249377703,1254834.08322786,8471142.03681825,0.0933123302833707,156.907977616278,16.1482829429034
15,0.03,0.86,0.59,142877.344878209,130076.691840337,430.374068850584,43.7943540427722,1256692.28105294,8469879.51380562,0.092360334278569,157.140331889069,15.9904135198672
15,0.03,0.86,0.6,141065.205702719,131374.514857734,430.994452007052,43.3500462663231,1258503.79984527,8468582.135096,0.0913893729644136,157.366849289075,15.8281856429912
15,0.03,0.86,0.61,139298.019825563,132708.5056808,431.599445463244,42.8933564948623,1260270.38072897,8467248.60096271,0.0903983291587411,157.587747524767,15.6614367901866
15,0.03,0.86,0.62,137574.130311951,134080.054041724,432.189616458717,42.4238089548792,1261993.68007159,8465877.52214932,0.0893860280456869,157.803233709489,15.4899932446503
15,0.03,0.86,0.63,135891.959902887,135490.646208587,432.765505001782,41.9408948280551,1263675.27459211,8464467.41289658,0.0883512310832321,158.013505013776,15.3136692240936
15,0.03,0.86,0.64,134250.006263977,136941.872772167,433.327625376447,41.4440695743878,1265316.66611065,8463016.68315826,0.0872926293103457,158.218749215575,15.1322659033483
