R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.14,0.266673269157703,636807.188808921,4238.62974461132,2726.18720735502,12.9275489056708,7960466.62398372,1395748.44270648,0.00471960836110383,995.399104085501,4.72017129418306
15,0.03,0.14,0.392305325416338,624988.842885754,4965.1352139679,2730.23318574454,12.6788307704091,7972280.9239285,1395022.18595526,0.004622397909255,996.876391944975,4.62935808504563
15,0.03,0.14,0.598779134946017,606481.982398501,6934.3360257844,2736.568981485,12.0046778044282,7990781.44862001,1393053.65929641,0.00436760272509184,999.189749364711,4.38320798334184
15,0.03,0.14,0.9,581316.97365312,17171.2653884484,2745.18419357741,8.50008032388808,8015937.8421533,1382820.23453123,0.00308680279887191,1002.33537867995,3.10359182825964
15,0.03,0.14,0.98,574929.51676229,30947.5644459122,2747.37092881384,3.78378485193699,8022323.1123089,1369048.65176924,0.00137534426295324,1003.13381038315,1.38155444406349
15,0.03,0.15,0,663155.841443488,3510.82504293611,2682.93191803619,14.2037572131328,7834161.22663847,1496474.97119985,0.00526623756582797,979.605516572963,5.1861468524451
15,0.03,0.15,0.266673269157703,634420.636330838,4589.83533834197,2692.76937881164,13.8343596765528,7862886.59429035,1495396.33030198,0.00511133546437801,983.1974194386,5.05127057690134
15,0.03,0.15,0.392305325416338,621724.162049432,5374.44799606796,2697.11599027195,13.5657486633511,7875578.72196029,1494611.98625527,0.00500455234876798,984.784475948045,4.95319398070608
15,0.03,0.15,0.598779134946017,601917.267552633,7499.46534885595,2703.89687847241,12.8382522706165,7895378.83556889,1492487.69639887,0.00472561793946592,987.260347752237,4.68756686030886
15,0.03,0.15,0.9,575130.211333727,18510.0355699943,2713.06736796509,9.06879986861894,7922156.72129831,1481480.89563014,0.003331501184908,990.608722728255,3.31124555202949
15,0.03,0.15,0.98,568357.422763176,33247.7873194274,2715.38602437225,4.02335250904201,7928927.19121245,1466748.18932806,0.00147949497535973,991.455322148917,1.46902658486396
15,0.03,0.16,0,662878.788054996,3787.87878888569,2648.79191452789,15.1359537973022,7734472.42003047,1596196.98525732,0.00568181818181818,967.140147791997,5.52651513023998
